id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
5466,Musiara Superiore,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,TIZZANO VAL PARMA,0,44.4985,10.1784,593679,4.92792e+06,982,11.1
5467,Campora di Sasso,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,NEVIANO DEGLI ARDUINI,0,44.5212,10.2755,601366,4.93056e+06,649,12.1
5468,Grammatica,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,CORNIGLIO,0,44.4383,10.0929,586974,4.92113e+06,980,10.5
5469,Casaselvatica,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BERCETO,0,44.5478,10.0356,582264,4.93324e+06,834,9.09999
5470,Bettola,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,BETTOLA,0,44.7955,9.63362,550116,4.96043e+06,600,13.8
5471,Selva Ferriere,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,FERRIERE,0,44.5868,9.48245,538297,4.93716e+06,1109,5.89999
5472,Cassimoreno,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,FERRIERE,0,44.6362,9.57935,545949,4.9427e+06,881,11.1
5475,Selvanizza,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,PALANZANO,1,44.44,10.2357,598334,4.92149e+06,474,12
5482,San Michele,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,MORFASSO,0,44.7627,9.70231,555580,4.95683e+06,662,14.1
5483,Tarsogno,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,TORNOLO,0,44.4467,9.61803,549177,4.92167e+06,852,6.69999
5484,Varano Marchesi,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,MEDESANO,0,44.7334,10.0236,581051,4.95385e+06,434,13.9
5487,Salsominore,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,FERRIERE,1,44.6327,9.40531,532148,4.94223e+06,408,11.6
5499,Piandelagotti,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,FRASSINORO,0,44.2371,10.5163,621087,4.89933e+06,1219,8.09999
5501,Lago Pratignano,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,FANANO,0,44.1774,10.8178,645306,4.89318e+06,1319,10.4
5509,Civago,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VILLA MINOZZO,0,44.2472,10.4658,617030,4.90037e+06,1051,8.59999
5510,Ospitaletto,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VENTASSO,0,44.297,10.3167,605035,4.9057e+06,1150,5.69999
5512,Canossa,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CANOSSA,0,44.5659,10.4658,616398,4.93577e+06,516,12.6
5540,Roncovetro,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CANOSSA,0,44.5177,10.3814,609781,4.9303e+06,571,12.9
